wavelength;intensity
2.446660767e+002;2.343108208e-004
2.448722076e+002;1.275362592e-004
2.450783386e+002;8.393665776e-004
2.452844849e+002;-8.601282752e-005
2.454906616e+002;3.437547246e-003
2.456968384e+002;-1.331715845e-003
2.459030304e+002;1.444422407e-003
2.461092377e+002;5.190429511e-004
2.463154755e+002;-6.554771098e-004
2.465217133e+002;9.105495992e-004
2.467279816e+002;-1.046983758e-003
2.469342499e+002;-1.482979860e-005
2.471405334e+002;-6.910685915e-004
2.473468475e+002;-2.079137834e-003
2.475531616e+002;-2.826559590e-003
2.477595062e+002;-1.687631011e-003
2.479658508e+002;1.835928997e-003
2.481722107e+002;-4.775194975e-004
2.483786011e+002;1.764746034e-003
2.485849915e+002;-1.216043456e-004
2.487914124e+002;-1.402898924e-003
2.489978333e+002;-3.351534542e-004
2.492042847e+002;3.410853678e-004
2.494107361e+002;1.987192954e-004
2.496172180e+002;-1.794405631e-003
2.498237000e+002;3.410853678e-004
2.500302124e+002;3.366364166e-003
2.502367249e+002;-1.402898924e-003
2.504432678e+002;-5.131110083e-004
2.506498108e+002;-1.865588594e-003
2.508563843e+002;-2.185912337e-003
2.510629578e+002;-2.506235847e-003
2.512695618e+002;1.978295157e-003
2.514761810e+002;-1.687631011e-003
2.516828003e+002;4.122683895e-004
2.518894501e+002;-3.707449650e-004
2.520960999e+002;-2.185912337e-003
2.523027802e+002;-1.260532881e-003
2.525094757e+002;-2.639704035e-004
2.527161713e+002;-2.283788926e-004
2.529228973e+002;5.635323396e-005
2.531296234e+002;-4.419279867e-004
2.533363800e+002;-4.419279867e-004
2.535431519e+002;9.817326209e-004
2.537499237e+002;8.749581175e-004
2.539567261e+002;2.120661084e-003
2.541635437e+002;1.871520537e-003
2.543703613e+002;-7.978431531e-004
2.545772095e+002;-4.775194975e-004
2.547840729e+002;-3.707449650e-004
2.549909363e+002;-8.601282752e-005
2.551978302e+002;-3.289249260e-003
2.554047394e+002;5.546344328e-004
2.556116486e+002;-1.216043456e-004
2.558185883e+002;1.275362592e-004
2.560255432e+002;-1.794405631e-003
2.562325134e+002;4.754433408e-003
2.564394836e+002;-1.794405631e-003
2.566464844e+002;2.868083073e-003
2.568534851e+002;-1.616448048e-003
2.570605164e+002;4.122683895e-004
2.572675781e+002;-2.639704035e-004
2.574746094e+002;6.970005343e-004
2.576817017e+002;1.978295157e-003
2.578887939e+002;1.266464824e-003
2.580958862e+002;-1.936771674e-003
2.583030090e+002;1.159690204e-003
2.585101318e+002;-6.554771098e-004
2.587172852e+002;-1.901180134e-003
2.589244385e+002;-1.296124421e-003
2.591316223e+002;-6.910685915e-004
2.593388367e+002;-2.862151014e-003
2.595460510e+002;-2.862151014e-003
2.597532654e+002;-1.687631011e-003
2.599605103e+002;-3.573981347e-003
2.601677551e+002;-3.538389923e-003
2.603750305e+002;-1.118166838e-003
